Time [sec] - Plot 0	Current [mA] - Plot 0
633	2,07684
634	2,07772
635	2,0786
636	2,07948
637	2,08035
638	2,08123
639	2,08211
640	2,08299
641	2,08387
642	2,08474
643	2,08562
644	2,0865
645	2,08738
646	2,08825
647	2,08913
648	2,09001
649	2,09089
650	2,09176
651	2,09264
652	2,09352
653	2,09439
654	2,09527
655	2,09615
656	2,09702
657	2,0979
658	2,09878
659	2,09965
660	2,10053
661	2,10141
662	2,10228
663	2,10316
664	2,10403
665	2,10491
666	2,10578
667	2,10666
668	2,10753
669	2,10841
670	2,10929
671	2,11016
672	2,11104
673	2,11191
674	2,11279
675	2,11366
676	2,11453
677	2,11541
678	2,11628
679	2,11716
680	2,11803
681	2,11891
682	2,11978
683	2,12065
684	2,12153
685	2,1224
686	2,12328
687	2,12415
688	2,12502
689	2,1259
690	2,12677
691	2,12764
692	2,12852
693	2,12939
694	2,13026
695	2,13114
696	2,13201
697	2,13288
698	2,13375
699	2,13463
700	2,1355
701	2,13637
702	2,13724
703	2,13812
704	2,13899
705	2,13986
706	2,14073
707	2,1416
708	2,14248
709	2,14335
710	2,14422
711	2,14509
712	2,14596
713	2,14683
714	2,1477
715	2,14857
716	2,14945
717	2,15032
718	2,15119
719	2,15206
720	2,15293
721	2,1538
722	2,15467
723	2,15554
724	2,15641
725	2,15728
726	2,15815
727	2,15902
728	2,15989
729	2,16076
730	2,16163
731	2,1625
732	2,16337
733	2,16424
734	2,16511
735	2,16598
736	2,16685
737	2,16772
738	2,16858
739	2,16945
740	2,17032
741	2,17119
742	2,17206
743	2,17293
744	2,1738
745	2,17467
746	2,17553
747	2,1764
748	2,17727
749	2,17814
750	2,17901
751	2,17987
752	2,18074
753	2,18161
754	2,18248
755	2,18334
756	2,18421
757	2,18508
758	2,18595
759	2,18681
760	2,18768
761	2,18855
762	2,18941
763	2,19028
764	2,19115
765	2,19201
766	2,19288
767	2,19375
768	2,19461
769	2,19548
770	2,19635
771	2,19721
772	2,19808
773	2,19894
774	2,19981
775	2,20068
776	2,20154
777	2,20241
778	2,20327
779	2,20414
780	2,205
781	2,20587
782	2,20673
783	2,2076
784	2,20846
785	2,20933
786	2,21019
787	2,21106
788	2,21192
789	2,21279
790	2,21365
791	2,21452
792	2,21538
793	2,21624
794	2,21711
795	2,21797
796	2,21884
797	2,2197
798	2,22056
799	2,22143
800	2,22229
801	2,22315
802	2,22402
803	2,22488
804	2,22574
805	2,22661
806	2,22747
807	2,22833
808	2,2292
809	2,23006
810	2,23092
811	2,23178
812	2,23265
813	2,23351
814	2,23437
815	2,23523
816	2,23609
817	2,23696
818	2,23782
819	2,23868
820	2,23954
821	2,2404
822	2,24127
823	2,24213
824	2,24299
825	2,24385
826	2,24471
827	2,24557
828	2,24643
829	2,24729
830	2,24816
831	2,24902
832	2,24988
833	2,25074
834	2,2516
835	2,25246
836	2,25332
837	2,25418
838	2,25504
839	2,2559
840	2,25676
841	2,25762
842	2,25848
843	2,25934
844	2,2602
845	2,26106
846	2,26192
847	2,26278
848	2,26364
849	2,2645
850	2,26536
851	2,26621
852	2,26707
853	2,26793
854	2,26879
855	2,26965
856	2,27051
857	2,27137
858	2,27223
859	2,27308
860	2,27394
861	2,2748
862	2,27566
863	2,27652
864	2,27738
865	2,27823
866	2,27909
867	2,27995
868	2,28081
869	2,28166
870	2,28252
871	2,28338
872	2,28424
873	2,28509
874	2,28595
875	2,28681
876	2,28767
877	2,28852
878	2,28938
879	2,29024
880	2,29109
881	2,29195
882	2,29281
883	2,29366
884	2,29452
885	2,29537
886	2,29623
887	2,29709
888	2,29794
889	2,2988
890	2,29965
891	2,30051
892	2,30137
893	2,30222
894	2,30308
895	2,30393
896	2,30479
897	2,30564
898	2,3065
899	2,30735
900	2,30821
901	2,30906
902	2,30992
903	2,31077
904	2,31163
905	2,31248
906	2,31334
907	2,31419
908	2,31504
909	2,3159
910	2,31675
911	2,31761
912	2,31846
913	2,31931
914	2,32017
915	2,32102
916	2,32188
917	2,32273
918	2,32358
919	2,32444
920	2,32529
921	2,32614
922	2,327
923	2,32785
924	2,3287
925	2,32956
926	2,33041
927	2,33126
928	2,33211
929	2,33297
930	2,33382
931	2,33467
932	2,33552
933	2,33638
934	2,33723
935	2,33808
936	2,33893
937	2,33978
938	2,34064
939	2,34149
940	2,34234
941	2,34319
942	2,34404
943	2,34489
944	2,34574
945	2,3466
946	2,34745
947	2,3483
948	2,34915
949	2,35
950	2,35085
951	2,3517
952	2,35255
953	2,3534
954	2,35425
955	2,3551
956	2,35595
957	2,3568
958	2,35765
959	2,3585
960	2,35935
961	2,3602
962	2,36105
963	2,3619
964	2,36275
965	2,3636
966	2,36445
967	2,3653
968	2,36615
969	2,367
970	2,36785
971	2,3687
972	2,36955
973	2,3704
974	2,37125
975	2,3721
976	2,37294
977	2,37379
978	2,37464
979	2,37549
980	2,37634
981	2,37719
982	2,37803
983	2,37888
984	2,37973
985	2,38058
986	2,38143
987	2,38227
988	2,38312
989	2,38397
990	2,38482
991	2,38567
992	2,38651
993	2,38736
994	2,38821
995	2,38905
996	2,3899
997	2,39075
998	2,3916
999	2,39244
1000	2,39329
1001	2,39414
1002	2,39498
1003	2,39583
1004	2,39668
1005	2,39752
1006	2,39837
1007	2,39921
1008	2,40006
1009	2,40091
1010	2,40175
1011	2,4026
1012	2,40344
1013	2,40429
1014	2,40514
1015	2,40598
1016	2,40683
1017	2,40767
1018	2,40852
1019	2,40936
1020	2,41021
1021	2,41105
1022	2,4119
1023	2,41274
1024	2,41359
1025	2,41443
1026	2,41528
1027	2,41612
1028	2,41697
1029	2,41781
1030	2,41866
1031	2,4195
1032	2,42034
1033	2,42119
1034	2,42203
1035	2,42288
1036	2,42372
1037	2,42456
1038	2,42541
1039	2,42625
1040	2,4271
1041	2,42794
1042	2,42878
1043	2,42963
1044	2,43047
1045	2,43131
1046	2,43216
1047	2,433
1048	2,43384
1049	2,43468
1050	2,43553
1051	2,43637
1052	2,43721
1053	2,43806
1054	2,4389
1055	2,43974
1056	2,44058
1057	2,44142
1058	2,44227
1059	2,44311
1060	2,44395
1061	2,44479
1062	2,44563
1063	2,44648
1064	2,44732
1065	2,44816
1066	2,449
1067	2,44984
1068	2,45068
1069	2,45153
1070	2,45237
1071	2,45321
1072	2,45405
1073	2,45489
1074	2,45573
1075	2,45657
1076	2,45741
1077	2,45825
1078	2,45909
1079	2,45993
1080	2,46078
1081	2,46162
1082	2,46246
1083	2,4633
1084	2,46414
1085	2,46498
1086	2,46582
1087	2,46666
1088	2,4675
1089	2,46834
1090	2,46918
1091	2,47002
1092	2,47086
1093	2,47169
1094	2,47253
1095	2,47337
1096	2,47421
1097	2,47505
1098	2,47589
1099	2,47673
1100	2,47757
1101	2,47841
1102	2,47925
1103	2,48009
1104	2,48092
1105	2,48176
1106	2,4826
1107	2,48344
1108	2,48428
1109	2,48512
1110	2,48595
1111	2,48679
1112	2,48763
1113	2,48847
1114	2,48931
1115	2,49014
1116	2,49098
1117	2,49182
1118	2,49266
1119	2,49349
1120	2,49433
1121	2,49517
1122	2,49601
1123	2,49684
1124	2,49768
